"day_open","day_high","day_low","day_close","volume","adj_close","trade_date","stock_id"
5.4,5.8,5.3,5.35,1117300,5.35,"2016-12-26","3IINFOTECH.NS"
7.5,7.75,7.45,7.5,608400,7.5,"2012-10-30","3IINFOTECH.NS"
5.6,5.65,5.45,5.45,1660900,5.45,"2016-08-24","3IINFOTECH.NS"
6,6,6,6,0,6,"2016-08-15","3IINFOTECH.NS"
7.2,7.25,7.1,7.15,1158700,7.15,"2012-11-27","3IINFOTECH.NS"
4.15,4.25,4.1,4.15,411300,4.15,"2016-05-12","3IINFOTECH.NS"
4.15,4.15,4.15,4.15,0,4.15,"2013-09-09","3IINFOTECH.NS"
4.8,5.4,4.8,5.1,4849400,5.1,"2017-03-27","3IINFOTECH.NS"
10.2,10.2,9.6,9.6,683800,9.6,"2014-07-11","3IINFOTECH.NS"
7.95,7.95,7.6,7.65,634600,7.65,"2013-02-06","3IINFOTECH.NS"
5,5.05,4.95,5,883700,5,"2017-03-20","3IINFOTECH.NS"
7.6,7.75,7.25,7.4,601300,7.4,"2014-03-11","3IINFOTECH.NS"
5.5,5.55,5.2,5.35,595900,5.35,"2013-05-23","3IINFOTECH.NS"
11.7,12,11.65,11.7,2215400,11.7,"2014-06-24","3IINFOTECH.NS"
8.7,9.1,8.45,8.9,1439600,8.9,"2014-09-22","3IINFOTECH.NS"
6.55,6.55,6.15,6.3,5075500,6.3,"2016-10-25","3IINFOTECH.NS"
4.05,4.05,4.05,4.05,322800,4.05,"2015-06-10","3IINFOTECH.NS"
5,5.1,4.95,4.95,1291700,4.95,"2016-07-21","3IINFOTECH.NS"
6.25,7.15,6.25,6.9,3150700,6.9,"2015-04-06","3IINFOTECH.NS"
8.7,8.75,8.35,8.35,780400,8.35,"2014-07-30","3IINFOTECH.NS"
5.05,5.9,4.95,5.1,1143100,5.1,"2013-03-25","3IINFOTECH.NS"
9,9.2,8.8,9.2,739300,9.2,"2013-01-02","3IINFOTECH.NS"
12.3,12.4,11.65,11.7,4325100,11.7,"2014-06-20","3IINFOTECH.NS"
6.7,7,6.7,6.9,386900,6.9,"2013-12-26","3IINFOTECH.NS"
15.95,17.05,15.9,16.9,3277900,16.9,"2012-01-13","3IINFOTECH.NS"
11.45,11.6,10.9,10.95,2168100,10.95,"2012-06-11","3IINFOTECH.NS"
7.6,8,7.6,7.75,1175900,7.75,"2014-04-02","3IINFOTECH.NS"
4.7,4.75,4.55,4.6,1202300,4.6,"2016-01-27","3IINFOTECH.NS"
4.1,4.1,4.1,4.1,0,4.1,"2015-10-22","3IINFOTECH.NS"
6.7,6.85,6.3,6.75,838500,6.75,"2013-02-27","3IINFOTECH.NS"
4.75,4.75,4.75,4.75,226800,4.75,"2015-07-02","3IINFOTECH.NS"
20.5,22.05,19.8,20.3,6477200,20.3,"2012-02-17","3IINFOTECH.NS"
4.25,4.3,4.15,4.25,896700,4.25,"2016-05-17","3IINFOTECH.NS"
15.55,15.9,15.45,15.7,795900,15.7,"2012-04-17","3IINFOTECH.NS"
3.95,3.95,3.75,3.95,954200,3.95,"2015-08-03","3IINFOTECH.NS"
4.1,4.15,3.9,3.95,646600,3.95,"2015-08-07","3IINFOTECH.NS"
10.2,10.5,10,10.3,469200,10.3,"2012-07-31","3IINFOTECH.NS"
9,9.3,8.6,9.15,1784100,9.15,"2012-12-18","3IINFOTECH.NS"
9,9.1,8.45,8.5,929400,8.5,"2014-09-23","3IINFOTECH.NS"
5.55,5.7,5.5,5.5,329000,5.5,"2013-11-26","3IINFOTECH.NS"
16.7,16.7,15.5,15.85,1800100,15.85,"2012-03-26","3IINFOTECH.NS"
7.5,7.95,7.3,7.65,4133600,7.65,"2015-04-10","3IINFOTECH.NS"
16.05,16.35,15.7,16.05,1131300,16.05,"2012-04-04","3IINFOTECH.NS"
5.7,5.7,5.5,5.5,456500,5.5,"2013-05-22","3IINFOTECH.NS"
5.1,5.1,4.9,4.95,535200,4.95,"2013-07-19","3IINFOTECH.NS"
15.4,15.8,15.25,15.45,1296000,15.45,"2012-03-30","3IINFOTECH.NS"
5.1,5.2,4.95,5,1711700,5,"2017-03-14","3IINFOTECH.NS"
4,4,3.8,3.8,1475900,3.8,"2016-05-31","3IINFOTECH.NS"
7.8,7.8,7.5,7.6,664300,7.6,"2015-03-11","3IINFOTECH.NS"
5.65,5.65,5.5,5.5,2719800,5.5,"2017-02-06","3IINFOTECH.NS"
7.5,7.65,7.25,7.35,745400,7.35,"2014-12-16","3IINFOTECH.NS"
14.35,14.5,13.9,14.1,779200,14.1,"2012-04-27","3IINFOTECH.NS"
8.2,9.2,8,9.1,4460900,9.1,"2014-09-10","3IINFOTECH.NS"
5,5.4,4.75,5.3,14679400,5.3,"2016-06-16","3IINFOTECH.NS"
4.45,4.45,4.45,4.45,0,4.45,"2016-03-25","3IINFOTECH.NS"
5.2,5.2,4.9,5.05,2620500,5.05,"2016-11-23","3IINFOTECH.NS"
10.3,10.3,9.85,9.85,1047300,9.85,"2014-07-09","3IINFOTECH.NS"
