"merch_id","activity_date"
9,2016-04-11
51,2016-06-13
51,2016-06-14
51,2016-06-15
51,2016-06-16
51,2016-06-17
51,2016-06-20
51,2016-07-01
51,2016-10-10
51,2016-10-11
51,2016-11-26
159,2016-02-10
263,2016-06-26
265,2016-04-11
265,2016-04-12
265,2016-07-29
265,2016-08-02
265,2016-08-04
265,2016-08-05
265,2016-08-06
265,2016-08-19
265,2016-08-23
265,2016-08-26
265,2016-08-27
265,2016-08-29
265,2016-09-08
265,2016-09-17
265,2016-09-22
265,2016-09-23
265,2016-09-27
265,2016-10-04
265,2016-10-06
265,2016-10-20
265,2016-10-25
265,2016-10-26
265,2016-11-08
265,2016-11-14
265,2016-11-21
265,2016-11-22
265,2016-12-27
265,2016-12-28
265,2016-12-31
265,2017-01-02
265,2017-01-04
265,2017-01-05
265,2017-01-10
265,2017-01-20
265,2017-01-21
265,2017-02-14
265,2017-02-17
265,2017-02-20
265,2017-02-24
265,2017-03-03
265,2017-03-07
265,2017-03-14
265,2017-03-15
265,2017-03-18
265,2020-08-05
343,2016-07-04
343,2016-07-05
371,2016-02-01
371,2016-02-02
371,2016-02-03
371,2016-02-04
371,2016-02-05
371,2016-02-06
371,2016-02-07
371,2016-02-08
371,2016-02-09
371,2016-02-10
371,2016-02-11
371,2016-02-12
371,2016-02-13
371,2016-02-14
371,2016-02-15
371,2016-02-16
371,2016-02-17
371,2016-02-18
371,2016-02-19
371,2016-02-20
371,2016-02-21
371,2016-02-22
371,2016-02-23
371,2016-02-24
371,2016-02-25
371,2016-02-26
371,2016-02-27
371,2016-02-28
371,2016-02-29
371,2016-03-01
371,2016-03-02
371,2016-03-03
371,2016-03-04
371,2016-03-05
371,2016-03-06
371,2016-03-07
371,2016-03-08
371,2016-03-09
371,2016-03-10
371,2016-03-11
371,2016-03-12
371,2016-03-13
371,2016-03-14
371,2016-03-15
371,2016-03-16
371,2016-03-17
371,2016-03-18
371,2016-03-19
371,2016-03-20
371,2016-03-21
371,2016-03-22
371,2016-03-23
371,2016-03-24
371,2016-03-25
371,2016-03-26
371,2016-03-27
371,2016-03-28
371,2016-03-29
371,2016-03-30
371,2016-03-31
371,2016-04-01
371,2016-04-02
371,2016-04-03
371,2016-04-04
371,2016-04-05
371,2016-04-06
371,2016-04-07
371,2016-04-08
371,2016-04-09
371,2016-04-10
371,2016-04-11
371,2016-04-12
371,2016-04-13
